,new_cases
97108,1.0
97109,0.0
97110,0.0
97111,1.0
97112,1.0
97113,0.0
97114,0.0
97115,0.0
97116,0.0
97117,0.0
97118,0.0
97119,0.0
97120,0.0
97121,0.0
97122,0.0
97123,0.0
97124,0.0
97125,0.0
97126,0.0
97127,0.0
97128,0.0
97129,0.0
97130,0.0
97131,0.0
97132,0.0
97133,0.0
97134,0.0
97135,0.0
97136,0.0
97137,0.0
97138,0.0
97139,0.0
97140,2.0
97141,0.0
97142,23.0
97143,2.0
97144,1.0
97145,3.0
97146,5.0
97147,4.0
97148,13.0
97149,6.0
97150,11.0
97151,9.0
97152,20.0
97153,11.0
97154,6.0
97155,23.0
97156,14.0
97157,38.0
97158,50.0
97159,86.0
97160,66.0
97161,103.0
97162,37.0
97163,121.0
97164,70.0
97165,160.0
97166,100.0
97167,37.0
97168,227.0
97169,146.0
97170,601.0
97171,545.0
97172,24.0
97173,515.0
97174,506.0
97175,1190.0
97176,533.0
97177,605.0
97178,809.0
97179,873.0
97180,848.0
97181,759.0
97182,1248.0
97183,1034.0
97184,835.0
97185,1108.0
97186,922.0
97187,1370.0
97188,1893.0
97189,924.0
97190,1541.0
97191,1290.0
97192,1707.0
97193,1453.0
97194,1753.0
97195,1607.0
97196,1561.0
97197,1873.0
97198,1738.0
97199,1801.0
97200,2394.0
97201,2442.0
97202,2806.0
97203,3932.0
97204,2963.0
97205,3587.0
97206,3364.0
97207,3344.0
97208,3113.0
97209,4353.0
97210,3607.0
97211,3524.0
97212,3763.0
97213,3942.0
97214,3787.0
97215,4864.0
97216,5050.0
97217,4630.0
97218,6147.0
97219,5553.0
97220,6198.0
97221,6568.0
97222,6629.0
97223,7113.0
97224,6414.0
97225,5843.0
97226,7293.0
97227,7300.0
97228,8105.0
97229,8336.0
97230,8782.0
97231,7761.0
97232,8821.0
97233,9633.0
97234,9889.0
97235,9471.0
97236,10438.0
97237,10864.0
97238,8442.0
97239,10218.0
97240,10459.0
97241,10930.0
97242,11458.0
97243,11929.0
97244,11502.0
97245,10667.0
97246,10974.0
97247,12881.0
97248,13586.0
97249,14516.0
97250,15403.0
97251,14831.0
97252,14933.0
97253,15968.0
97254,16922.0
97255,17296.0
97256,18552.0
97257,19906.0
97258,19459.0
97259,18522.0
97260,18641.0
97261,19160.0
97262,20903.0
97263,22771.0
97264,24850.0
97265,24248.0
97266,22251.0
97267,22753.0
97268,24879.0
97269,26506.0
97270,27114.0
97271,28606.0
97272,28732.0
97273,28498.0
97274,29429.0
97275,32676.0
97276,34975.0
97277,35252.0
97278,38697.0
97279,40425.0
97280,37132.0
97281,37740.0
97282,45720.0
97283,49310.0
97284,48916.0
97285,48611.0
97286,49981.0
97287,44457.0
97288,51596.0
97289,50294.0
97290,52783.0
97291,61242.0
97292,54735.0
97293,52972.0
97294,52050.0
97295,52509.0
97296,56282.0
97297,62538.0
97298,61537.0
97299,64399.0
97300,62064.0
97301,53601.0
97302,60963.0
97303,66999.0
97304,64553.0
97305,64732.0
97306,64030.0
97307,57711.0
97308,55018.0
97309,64572.0
97310,69672.0
97311,68900.0
97312,69876.0
97313,69239.0
97314,61408.0
97315,60975.0
97316,57224.0
97317,85687.0
97318,77266.0
97319,76472.0
97320,78761.0
97321,78512.0
97322,69921.0
97323,78357.0
97324,83883.0
97325,83341.0
97326,86432.0
97327,90632.0
97328,90802.0
97329,75809.0
97330,89706.0
97331,95735.0
97332,96551.0
97333,97570.0
97334,94372.0
97335,92071.0
97336,83809.0
97337,90123.0
97338,97894.0
97339,96424.0
97340,93337.0
97341,92605.0
97342,86961.0
97343,75083.0
97344,83347.0
97345,86508.0
97346,86052.0
97347,85362.0
97348,88600.0
97349,82170.0
97350,70589.0
97351,80472.0
97352,86821.0
97353,81484.0
97354,79476.0
97355,75829.0
97356,74442.0
97357,61267.0
97358,72049.0
97359,78524.0
97360,70496.0
97361,73272.0
97362,74383.0
97363,66732.0
97364,55342.0
97365,63509.0
97366,67708.0
97367,63371.0
97368,62212.0
97369,61871.0
97370,55722.0
97371,46790.0
97372,54044.0
97373,55839.0
97374,54366.0
97375,53370.0
97376,50129.0
97377,45148.0
97378,36470.0
97379,43893.0
97380,49881.0
97381,48648.0
97382,48268.0
97383,46963.0
97384,45231.0
97385,38310.0
97386,46253.0
97387,50210.0
97388,47638.0
97389,50356.0
97390,45674.0
